2012-12-10	 	2012-12-07	 	LA REGINELLA	 	-65,00	 	5 591,07
2012-12-10	 	2012-12-06	 	COOP NARA KRIS	 	-19,00	 	5 656,07
2012-12-10	 	2012-12-07	 	SPOTIFY PREMIU	 	-99,00	 	5 675,07
2012-12-08	 	2012-12-08	 	BANKOMAT 22.19	 	-100,00	 	5 774,07
2012-12-07	 	2012-12-05	 	COOP KONSUM BE	 	-33,90	 	5 874,07
2012-12-07	 	2012-12-05	 	COOP NARA KRIS	 	-33,90	 	5 907,97
2012-12-04	 	2012-12-02	 	COOP NARA KRIS	 	-26,85	 	5 941,87
2012-12-04	 	2012-12-03	 	SYSTEMBOLAGET	 	-188,40	 	5 968,72
2012-12-03	 	2012-11-30	 	CAFE BELLMAN	 	-120,00	 	6 157,12
2012-12-03	 	2012-11-29	 	COOP KONSUM BE	 	-21,50	 	6 277,12
2012-12-03	 	2012-11-29	 	COOP KONSUM BE	 	-141,30	 	6 298,62
2012-12-03	 	2012-12-01	 	CLAS OHLSON	 	-99,00	 	6 439,92
2012-12-03	 	2012-11-30	 	IZETTLE*KONGLI	 	-32,00	 	6 538,92
2012-12-03	 	2012-12-01	 	WAYNES COFFEE	 	-59,00	 	6 570,92
2012-12-03	 	2012-12-01	 	COOP KONSUM BE	 	-15,40	 	6 629,92
2012-12-03	 	2012-12-02	 	MCDONALDS KUNG	 	-20,00	 	6 645,32
2012-12-03	 	2012-12-01	 	JERNVEGS GRILL	 	-30,00	 	6 665,32
2012-12-03	 	2012-11-30	 	IZETTLE*KONGLI	 	-50,00	 	6 695,32
2012-12-03	 	2012-12-03	 	IKANO BANK	 	-100,00	 	6 745,32
2012-11-30	 	2012-11-28	 	COOP NARA KRIS	 	-25,90	 	6 845,32
2012-11-30	 	2012-11-30	 	SVERIGES INGEN	 	-180,00	 	6 871,22
2012-11-30	 	2012-11-30	 	CENTRALA STUDI	 	-1 710,00	 	7 051,22
2012-11-30	 	2012-11-30	 	Stående överf	 	1 000,00	 	8 761,22
2012-11-29	 	2012-11-27	 	BURGER KING VA	 	-55,00	 	7 761,22
2012-11-29	 	2012-11-28	 	GIHBADET	 	-320,00	 	7 816,22
2012-11-28	 	2012-11-27	 	T SNABBEN	 	-19,95	 	8 136,22
2012-11-28	 	2012-11-28	 	TELE2 SVERIGE	 	-97,00	 	8 156,17
2012-11-27	 	2012-11-26	 	LATINO CAJUN	 	-100,00	 	8 253,17
2012-11-27	 	2012-11-26	 	LION BAR	 	-53,00	 	8 353,17
2012-11-27	 	2012-11-26	 	AB STOCKHOLMS	 	-220,00	 	8 406,17
2012-11-27	 	2012-11-27	 	Överf Mobil	 	-2 779,00	 	8 626,17
2012-11-26	 	2012-11-25	 	JERNVEGS GRILL	 	-57,00	 	11 405,17
2012-11-26	 	2012-11-25	 	7-Eleven 18126	 	-55,00	 	11 462,17
2012-11-26	 	2012-11-24	 	COOP KONSUM BE	 	-73,35	 	11 517,17
2012-11-26	 	2012-11-23	 	SULTAN FASTFOO	 	-87,00	 	11 590,52
2012-11-25	 	2012-11-25	 	Överf Mobil	 	-20 000,00	 	11 677,52
2012-11-23	 	2012-11-23	 	BANKOMAT 20.30	 	-300,00	 	31 677,52
2012-11-23	 	2012-11-22	 	ICA SUPERMARKE	 	-40,30	 	31 977,52
2012-11-23	 	2012-11-21	 	LÖN	 	9 430,00	 	32 017,82
2012-11-22	 	2012-11-20	 	COOP NARA KRIS	 	-23,80	 	22 587,82
2012-11-22	 	2012-11-21	 	H M 038 DROTTN	 	-99,00	 	22 611,62
2012-11-22	 	2012-11-22	 	Överf Mobil	 	-20 000,00	 	22 710,62
2012-11-22	 	2012-11-22	 	Överf Mobil	 	-10 000,00	 	42 710,62
2012-11-22	 	2012-11-22	 	Överf Mobil	 	-500,00	 	52 710,62
2012-11-21	 	2012-11-19	 	COOP NARA KRIS	 	-18,90	 	53 210,62
2012-11-21	 	2012-11-21	 	fr K-gruvan	 	50 000,00	 	53 229,52
2012-11-20	 	2012-11-19	 	AMAZON MKTPLAC	 	-102,18	 	3 229,52
2012-11-19	 	2012-11-16	 	DUVEL CAF	 	-78,00	 	3 331,70
2012-11-19	 	2012-11-16	 	DUVEL CAF	 	-68,00	 	3 409,70
2012-11-19	 	2012-11-16	 	SL CENTER TEKN	 	-1 540,00	 	3 477,70
2012-11-19	 	2012-11-17	 	COOP KONSUM BE	 	-21,50	 	5 017,70
2012-11-19	 	2012-11-18	 	MELLQVIST CAFF	 	-45,00	 	5 039,20
2012-11-19	 	2012-11-17	 	PIZZERIA KRIST	 	-75,00	 	5 084,20
2012-11-19	 	2012-11-16	 	BURGER KING OD	 	-39,00	 	5 159,20
2012-11-19	 	2012-11-15	 	COOP KONSUM BE	 	-18,95	 	5 198,20
2012-11-19	 	2012-11-16	 	MCDONALD VASAG	 	-42,00	 	5 217,15
2012-11-19	 	2012-11-16	 	DUVEL CAF	 	-76,00	 	5 259,15
2012-11-19	 	2012-11-16	 	COOP NARA KRIS	 	-43,40	 	5 335,15
2012-11-19	 	2012-11-19	 	Karin Bergman	 	2 000,00	 	5 378,55
2012-11-16	 	2012-11-15	 	ICA SUPERMARKE	 	-50,80	 	3 378,55
2012-11-16	 	2012-11-14	 	COOP KONSUM BE	 	-86,15	 	3 429,35
2012-11-16	 	2012-11-16	 	BANKOMAT 17.17	 	-200,00	 	3 515,50
2012-11-16	 	2012-11-16	 	00091702944735	 	1 500,00	 	3 715,50
2012-11-15	 	2012-11-15	 	00091702944735	 	1 500,00	 	2 215,50
2012-11-14	 	2012-11-11	 	COOP KONSUM BE	 	-50,55	 	715,50
2012-11-14	 	2012-11-10	 	COOP NARA KRIS	 	-23,50	 	766,05
2012-11-14	 	2012-11-13	 	ICA SUPERMARKE	 	-40,70	 	789,55
2012-11-14	 	2012-11-12	 	COOP NARA KRIS	 	-34,45	 	830,25
2012-11-14	 	2012-11-12	 	COOP KONSUM BE	 	-127,30	 	864,70
2012-11-14	 	2012-11-11	 	COOP KONSUM BE	 	-19,62	 	992,00
2012-11-13	 	2012-11-10	 	MELLQVIST CAFF	 	-25,00	 	1 011,62
2012-11-13	 	2012-11-12	 	MAX STOCKHOLM	 	-28,00	 	1 036,62
2012-11-12	 	2012-11-10	 	KUNGSHAMRA GRI	 	-60,00	 	1 064,62
2012-11-12	 	2012-11-10	 	HEMKOP STHLM C	 	-106,75	 	1 124,62
2012-11-12	 	2012-11-10	 	BURGER KING	 	-25,00	 	1 231,37
2012-11-12	 	2012-11-11	 	MELLQVIST CAFF	 	-20,00	 	1 256,37
2012-11-12	 	2012-11-09	 	COOP KONSUM BE	 	-46,95	 	1 276,37
2012-11-12	 	2012-11-09	 	COOP KONSUM BE	 	-85,35	 	1 323,32
2012-11-12	 	2012-11-08	 	COOP KONSUM BE	 	-18,50	 	1 408,67
2012-11-09	 	2012-11-07	 	COOP KONSUM BE	 	-32,45	 	1 427,17
2012-11-09	 	2012-11-09	 	BANKOMAT 18.30	 	-300,00	 	1 459,62
2012-11-08	 	2012-11-07	 	7-Eleven 18126	 	-17,00	 	1 759,62
2012-11-08	 	2012-11-07	 	SPOTIFY 8 PREM	 	-99,00	 	1 776,62
2012-11-08	 	2012-11-08	 	Vassego!	 	600,00	 	1 875,62
2012-11-07	 	2012-11-05	 	COOP KONSUM BE	 	-31,80	 	1 275,62
2012-11-07	 	2012-11-07	 	00091702944735	 	1 000,00	 	1 307,42
2012-11-06	 	2012-11-05	 	SULTAN FASTFOO	 	-90,00	 	307,42
2012-11-05	 	2012-11-02	 	BISHOPS ARMS V	 	-126,00	 	397,42
2012-11-05	 	2012-11-02	 	BISHOPS ARMS V	 	-68,00	 	523,42
2012-11-05	 	2012-11-03	 	AKADEMI SERGEL	 	-29,00	 	591,42
2012-11-05	 	2012-11-02	 	BISHOPS ARMS V	 	-136,00	 	620,42
2012-11-05	 	2012-11-01	 	COOP KONSUM BE	 	-162,90	 	756,42
2012-11-03	 	2012-11-03	 	BANKOMAT 0.31	 	-100,00	 	919,32
2012-11-02	 	2012-11-01	 	7-Eleven 18126	 	-14,00	 	1 019,32
